team,home_state,team_tz,team_tz_min
West Coast,WA,+8:00,480
Fremantle,WA,+8:00,480
Adelaide,SA,+9:30,540
Port Adelaide,SA,+9:30,540
Brisbane Lions,QLD,+10:00,600
Gold Coast,QLD,+10:00,600
Sydney,NSW,+10:00,600
Greater Western Sydney,NSW,+10:00,600
Carlton,VIC,+10:00,600
Collingwood,VIC,+10:00,600
Essendon,VIC,+10:00,600
Hawthorn,VIC,+10:00,600
Melbourne,VIC,+10:00,600
North Melbourne,VIC,+10:00,600
Richmond,VIC,+10:00,600
St Kilda,VIC,+10:00,600
Western Bulldogs,VIC,+10:00,600
Geelong,VIC,+10:00,600
Fitzroy,VIC,+10:00,600
University,VIC,+10:00,600
